-0.15581222,0.10145399,-0.43229461,-0.17194958,-0.43885604,-0.42872640,-0.27781874,-0.38458651,0.06194169,-0.41266513,-0.51963884,-0.76734215,-0.40114701,0.05256275,-0.25837353,-0.31011182,-0.26562205,-0.53814578,-0.51939762,-0.41831726,-0.36421108,-0.17961043,0.01417029,-0.22890364,-0.16906513,-0.19945435,-0.36093462,-0.15278515,-0.01711356,-0.46539217,-0.11610031,-0.39887950,-0.24847434,-0.37810579,-0.35028693,-0.65714091,-0.03279168,-0.66673470,-0.06483706,-0.55408430,-0.65287828,-0.23350739,-0.27807161,-0.11511113,-0.51992351,-0.30465150,-0.24953356,-0.14633901,-0.16376585,-0.30865154,-0.49367204,-0.58184451,-0.13080238,-0.30158126,-0.38607743,-0.42153335,-0.08779041,-0.26358089,-0.16389413,-0.20746218,-0.04060415,0.02567585,-0.30000886,-0.05681749,-0.10002485,-0.12470742,-0.14902283,-0.36315531,-0.42863989,-0.09685770,-0.49005118,-0.40569717,-0.25390255,-0.34328976,-0.02318477,-0.43872988,-0.40991807,-0.08356498,-0.28092951,-0.40413392,-0.13459069,-0.39476153,-0.24134222,-0.30392125,-0.36594418,-0.19364384,-0.20723116,-0.40123066,-0.46636158,-0.52002072,-0.37307462,-0.35362989,-0.43508640,-0.31350845,-0.08497880,-0.27047414,-0.18894458,-0.47255540,0.00426493,-0.12083315,-0.35754320,-0.38367733,-0.26069754,-0.80711794,-0.38344166,-0.25611567,-0.65266114,-0.27078035,-0.24317124,-0.24805683,-0.01540843,-0.28003284,0.02222576,-0.17536700,-0.32906312,-0.31292641,0.10142421,-0.28162390,-0.08339945,-0.32065800,-0.63519609,-0.09786788,-0.04716220,-0.30977285,-0.33358547,-0.35055542,-0.06416167,-0.18332751
-0.86044168,-0.47625652,0.14339179,-0.71109587,-0.14846134,-0.04877866,-0.44971311,-0.30076185,-0.60744768,-0.28678051,-0.23419878,-0.33215773,-0.58870882,-0.23380136,-0.12545381,-0.51871312,-0.77316946,-0.14338368,-0.21192408,0.16777976,-0.40749827,-0.67561305,-0.41456133,-0.12741438,-0.18120082,-0.46336472,-0.54325032,-0.57841885,-0.33940080,-0.25019339,-0.27851099,-0.81534654,-0.26817995,-0.33515504,-0.12327613,-0.36320046,-0.24462278,-0.09494315,0.00710302,-0.05278379,-0.18903428,-0.48866585,-0.21250835,0.06946094,-0.34755838,-0.21067856,-0.12416475,-0.30654722,-0.33941269,-0.47344387,-0.60895139,-0.22903101,-0.48395848,-0.52607936,-0.18805566,-0.44529116,-0.01925234,-0.49778378,-0.09271964,-0.27685282,-0.43245775,-0.00366333,-0.43940067,-0.14200304,-0.42833599,-0.53847367,-0.24402210,-0.81293356,-0.27894866,-0.54233003,-0.15469123,-0.25342539,-0.08501694,-0.20057003,-0.30337092,-0.36796588,-0.25494862,0.03987968,-0.07018414,-0.08154538,-0.05094862,-0.43631977,-0.11684117,-0.56496429,-0.45334616,-0.31379858,-0.46351674,-0.49772871,-0.43047878,-0.44813076,0.04253723,-0.04114456,-0.00638113,-0.21891469,-0.27561870,-0.02597861,-0.48987108,-0.28605413,-0.57988781,-0.01233564,-0.26366907,-0.43917030,-0.33755165,-0.37972367,-0.02227594,-0.25274387,-0.53777933,-0.29661289,-0.10631661,-0.29130051,-0.08646631,-0.49032864,-0.42786852,-0.17031549,-0.07498963,-0.40161571,-0.31182009,-0.33647728,-0.35828874,-0.01611489,-0.15170637,-0.78294665,-0.23357600,-0.16545960,-0.44506627,-0.34856921,-0.37029544,-0.45265186
-0.14554946,-0.43998089,-0.42777404,-0.36101416,-0.53489095,-0.23231858,-0.31988487,-0.34662694,-0.29071277,-0.19359306,-0.25230321,-0.24994454,0.00855415,-0.34669247,-0.43324870,0.10982356,-0.47872192,-0.21267359,-0.58273202,-0.29158843,-0.10959482,-0.00423956,-0.21225771,-0.24672942,-0.28459775,-0.18855390,-0.12752201,-0.02763095,-0.53292543,-0.32304767,-0.15347353,-0.20249964,-0.69643694,-0.32990259,-0.35466784,-0.40204945,-0.58444333,-0.07704000,-0.53142303,0.01592561,-0.43228814,-0.31627357,-0.35799372,-0.51113415,-0.23921978,-0.41870579,-0.08855637,-0.11173392,-0.16372357,-0.18127322,-0.08398360,-0.07631332,-0.23333754,-0.24784303,-0.30899704,-0.48555115,-0.42217308,-0.34992021,-0.19840290,-0.23348634,0.07215453,-0.36673072,-0.42630073,-0.31260142,-0.28400528,-0.56651473,-0.50866234,-0.09601505,-0.00605965,-0.29132774,-0.39782187,-0.36532295,0.20608087,-0.38193950,-0.16104683,-0.39322168,-0.31119367,-0.41250762,-0.62955326,-0.28577307,-0.23218770,-0.16000257,-0.02912310,-0.41940442,-0.46675879,-0.19899914,-0.46907464,-0.69270986,0.05275714,-0.16719478,-0.34822240,-0.33224955,0.08069888,-0.01124552,-0.27232060,-0.69809979,-0.18194585,-0.01686914,-0.17740922,-0.29041824,-0.29797918,-0.24900194,-0.23054752,-0.45692474,-0.53748941,-0.21024342,-0.19393009,-0.27861905,-0.30462435,-0.26705599,-0.33422959,-0.26737389,-0.51528192,-0.42267364,-0.62007940,-0.18727882,-0.17874819,-0.18139748,-0.38807365,0.01098438,-0.13850614,-0.18436369,-0.22399788,-0.49371904,0.16633557,-0.26334110,-0.56327778,-0.38815826
-0.18052644,-0.32751510,-0.14648716,-0.07576290,-0.39186713,-0.33644995,-0.47051623,0.00933761,-0.22019723,-0.41406450,-0.50514120,-0.08152688,-0.42678183,-0.10547712,-0.21627399,-0.03641461,-0.15354735,-0.15674044,-0.15333794,-0.36481735,-0.40851462,-0.51471913,-0.21223256,-0.02209606,-0.35130656,-0.31685564,-0.37078553,-0.37742880,-0.18348077,-0.60357422,-0.26605281,-0.30692023,-0.18827851,-0.25687286,-0.11522634,-0.54343939,-0.58616281,-0.07790367,-0.43214130,-0.19013436,-0.56815994,-0.08204023,-0.25949985,0.09134886,-0.18896912,-0.32691610,-0.15587494,0.04599100,0.05554716,-0.27429762,-0.17560598,-0.43680638,-0.09183561,-0.39502352,-0.26088649,-0.28872925,0.02214350,-0.15243843,-0.05787206,-0.63843167,-0.36018023,-0.49255091,-0.23359010,-0.30030733,-0.44956952,-0.03684982,-0.04797210,-0.01149611,-0.36770377,0.28497371,-0.25628957,-0.41580164,-0.40836015,-0.22422068,-0.47139323,-0.16941079,-0.52463514,-0.07401851,-0.46388236,-0.59506541,0.00329109,-0.37070930,-0.61934406,-0.42997465,-0.52744859,-0.45876878,-0.19144689,-0.64082056,-0.53002918,-0.53590131,-0.39497358,0.03078935,-0.77351266,-0.17345437,-0.02168647,-0.29205927,-0.08777351,-0.50851554,-0.14885157,-0.69173849,-0.61053765,-0.45087764,-0.55480266,-0.14162767,-0.39842296,-0.24580345,-0.01940349,-0.22157246,-0.14270218,-0.36939001,-0.13254027,-0.51375121,-0.45071074,0.02698198,-0.39519995,-0.60301721,-0.63841820,-0.60394120,-0.66137052,-0.48835361,-0.07111376,0.08393157,-0.33582208,-0.39991301,-0.40909809,-0.13250427,-0.12510557,-0.59073859
-0.35016066,-0.08654403,-0.35232922,-0.31492263,-0.44772074,0.10327504,-0.26854095,-0.04708305,-0.16813119,-0.57022268,-0.12358882,-0.57169855,-0.28174368,-0.13368590,-0.24085784,-0.32853150,-0.36779863,-0.06085476,-0.03573738,-0.63199610,-0.03434515,0.01681433,-0.42610595,0.07223266,-0.56880951,-0.26351580,-0.22015800,-0.33325905,-0.23631659,-0.57778692,-0.38292065,-0.14588554,-0.28706506,-0.29946062,-0.18576044,-0.09272447,-0.38187924,-0.65728688,-0.23604918,-0.38256428,-0.18592678,-0.24883226,-0.36573404,-0.05050444,-0.27057835,-0.38408011,-0.51302159,-0.33057636,-0.30304378,-0.32182419,-0.46463594,-0.49329665,-0.06289015,-0.35306469,-0.35937724,-0.31131884,-0.23667268,-0.22570568,-0.50439149,0.04129294,-0.32327521,0.02989217,-0.25923479,-0.13435425,-0.64638042,-0.32530814,-0.19639234,-0.10077901,-0.33295584,-0.40174302,0.17845739,-0.28405261,-0.06193678,-0.14900769,-0.37257871,-0.16893739,-0.34818143,-0.16832460,-0.26820722,-0.10996850,-0.34197032,0.03252454,-0.00373221,-0.15028986,-0.36529320,-0.16975105,-0.05470042,-0.34733918,-0.41389790,-0.16750014,-0.42210305,-0.42956778,0.18147756,-0.42188606,-0.40772071,-0.28188533,-0.40675879,-0.38785037,-0.24286994,-0.47031674,-0.37310979,-0.37155724,-0.35350764,-0.07037356,-0.40121368,-0.30789623,-0.27582657,-0.21408057,-0.49834132,-0.10046779,-0.11983185,0.00329716,0.08784749,-0.29131109,-0.03780897,-0.06144968,-0.05918564,-0.25445062,-0.47563758,-0.00378481,-0.27527881,-0.28912449,-0.02362913,-0.30831137,-0.40153965,-0.41596460,-0.33361319,-0.28912485
-0.14411643,-0.49478433,-0.26073995,-0.26073191,-0.28005624,-0.22743036,-0.16360828,-0.23103344,-0.26472723,-0.37137067,0.00118265,-0.42187500,-0.53761709,-0.29108459,-0.52440876,-0.30508885,0.29908603,-0.35805678,-0.26921636,-0.32683891,-0.00094981,-0.05816250,-0.20517461,-0.65530443,-0.35015893,-0.44479376,-0.49167201,-0.50036246,-0.30514672,0.01700300,-0.03425796,-0.09997479,-0.25211227,-0.09000769,-0.24492402,-0.43373060,-0.10247492,-0.46155339,-0.01108815,-0.36314133,-0.43944541,-0.03604585,-0.20586720,-0.67000806,-0.34704354,-0.05276723,-0.68405831,-0.55023628,-0.16693905,-0.27165520,-0.25943610,-0.61891687,-0.27850950,-0.13530508,-0.64239615,-0.25674415,-0.18855664,-0.01745155,0.00838074,-0.23870608,-0.44654179,-0.15969753,0.10327011,-0.20598651,-0.59305465,0.17343569,-0.27308598,-0.31063825,0.08891632,-0.26615164,-0.50798255,-0.18047982,0.10972345,-0.32433391,-0.29692680,-0.60231614,-0.13777223,0.01056788,-0.33529875,-0.06801157,0.03102048,0.02124060,-0.74901938,-0.46986616,-0.42324537,-0.35320526,-0.23765710,-0.04106750,-0.17554809,-0.06795134,0.09629899,-0.76611632,-0.23658662,-0.62284648,-0.50628448,-0.19432522,-0.56784135,-0.69831103,-0.57488090,-0.25572371,0.06863428,-0.29989275,-0.09541430,-0.19022346,0.03070461,-0.58294767,-0.21925355,-0.45412466,-0.65140361,-0.47171986,-0.21003123,-0.29992875,-0.15696102,-0.48866889,-0.39805630,-0.37683308,-0.40346974,0.01400519,-0.27132082,0.13751654,-0.22083539,-0.52044266,-0.38342959,-0.37859312,-0.43145880,-0.36945239,-0.51909822,-0.47515795
-0.12771314,-0.20206837,-0.57131296,-0.16213016,-0.47360435,-0.07781228,-0.67414427,-0.11178493,-0.11014501,-0.26129156,-0.33974791,-0.33207944,-0.22503068,-0.45090336,-0.31074730,-0.06171465,-0.26547170,-0.11459836,-0.29863584,-0.20311740,-0.29920602,-0.41949013,-0.00214914,-0.27935323,0.08172929,-0.22263671,-0.27642778,-0.42534640,-0.46770206,-0.10721642,-0.58995336,-0.60772043,-0.33567002,-0.45355147,0.07678781,-0.28952911,-0.18112759,-0.36573911,-0.39862341,-0.27511197,-0.06210384,-0.41956338,-0.61682689,-0.05965464,-0.60225904,-0.20239425,-0.24774309,-0.35268503,-0.42816570,-0.25819498,-0.02504237,0.13469709,-0.05643613,-0.03021490,-0.13079630,0.02511257,-0.14239310,-0.30423850,-0.31245324,-0.01665626,-0.30745277,-0.41708338,0.02112980,0.11604246,-0.20290482,-0.59463978,-0.38038403,-0.35099974,-0.26597628,-0.53480786,-0.15280324,-0.35671714,-0.43384093,-0.17991079,-0.34447822,0.02740026,0.04455687,-0.35634896,-0.22453184,-0.11297863,-0.51986384,-0.24920385,-0.25283265,-0.47895834,-0.29544061,-0.29634252,-0.09836918,-0.29686180,-0.12489419,-0.36754218,-0.22627468,-0.45679721,-0.15724391,-0.07045203,-0.16396542,-0.36130399,-0.38819802,-0.18877545,-0.46920002,-0.26908198,-0.20084243,-0.31255826,-0.36694789,-0.59795195,-0.23041050,-0.53471982,-0.39715421,0.00153839,-0.06325393,-0.29390365,-0.25540870,-0.62605351,-0.19705102,-0.14593643,-0.59121656,-0.22513354,-0.50786740,-0.33792299,-0.47423708,-0.28428382,-0.22128996,-0.35323346,-0.44019222,-0.43488067,-0.18722890,-0.29944921,-0.32749394,-0.41020361
-0.46857744,-0.05864273,-0.03704185,-0.44286469,-0.36320943,-0.03184652,-0.38309884,-0.31438464,-0.93673432,-0.42334187,-0.18509251,-0.02298383,-0.28174075,-0.18262032,-0.22990637,-0.38392499,-0.51680970,-0.22676595,-0.05623112,-0.14201780,-0.51421899,-0.69472152,-0.40983313,-0.14364184,-0.20393758,-0.26712129,-0.35834193,-0.45489395,-0.38487825,-0.28204802,-0.52354884,-0.54832894,-0.00482483,-0.26704749,-0.66190284,-0.23347269,-0.51058769,-0.27766690,0.11540724,-0.31473732,-0.37382442,-0.16385570,-0.34410119,-0.47059789,-0.25147885,-0.15487297,-0.03535977,0.08843207,-0.14850637,-0.04720654,-0.04298922,-0.30075195,-0.51323771,-0.32263723,-0.03948282,-0.48728043,-0.70835465,-0.19804810,-0.51347965,-0.10934217,-0.25250387,-0.39414090,-0.49938363,-0.37788090,-0.17685579,-0.23798506,-0.45040816,-0.26639158,-0.32038805,-0.06283753,-0.26843312,-0.25549999,-0.61269855,-0.31780061,-0.17632084,-0.75094122,-0.19866572,-0.23553830,-0.55409396,-0.33589754,-0.46421450,-0.39729920,0.04451597,-0.53573877,-0.07975084,-0.18359502,-0.11370870,-0.31845468,-0.35350224,-0.19081150,-0.36758828,-0.22789708,-0.15979649,-0.26998717,-0.04646353,-0.16777688,-0.48494795,-0.37570986,-0.23706646,-0.42001948,-0.44948590,-0.63067335,-0.52225727,-0.65238285,-0.36050704,-0.20510393,-0.33719110,-0.18560268,-0.23278101,0.04068170,0.13332786,-0.07974848,-0.28050685,-0.47203511,-0.57911330,-0.30226740,-0.43989325,-0.35653761,-0.38137662,-0.00211129,-0.14167553,0.08008159,-0.14784470,-0.38978666,-0.42651454,-0.27197152,-0.32094985,-0.48902568
-0.52908283,-0.22272067,-0.32275364,-0.23929596,0.04716119,-0.14254038,0.08930604,-0.22936238,-0.35547927,-0.16406740,-0.34219062,-0.31341034,-0.23336330,-0.38610864,-0.51075691,-0.39446688,-0.24947155,-0.22360116,-0.71902752,-0.11012906,-0.20364073,-0.15928029,-0.49543315,-0.34194103,-0.49019632,-0.42238197,-0.50214040,-0.76130527,-0.74481535,-0.11053660,-0.30461898,-0.33969307,-0.08941343,-0.18950664,-0.39289773,-0.24831961,-0.21056886,-0.34513405,-0.41267791,-0.18186489,-0.31492674,-0.50826538,-0.35439152,-0.40231979,-0.35003152,-0.45054820,0.04619806,-0.31064814,0.10648667,-0.42299777,-0.50321114,-0.43105704,-0.23749429,-0.41538075,-0.42709014,-0.52785075,-0.29135805,-0.50353056,-0.23749335,-0.21869634,-0.22365473,-0.41035500,-0.52434409,-0.20103137,-0.35717404,-0.17472175,-0.00330235,-0.38558200,-0.32247090,-0.54407531,-0.22878432,-0.23043156,-0.34737453,-0.43955800,0.02069811,-0.21800825,-0.32793161,-0.65616512,-0.12402644,-0.17554866,-0.38992989,-0.17168400,-0.42460710,-0.52212340,-0.31658989,-0.07450145,-0.56477976,-0.53405291,-0.17068167,-0.24402475,-0.36994189,-0.28399187,-0.37072554,-0.01364936,-0.09927518,-0.36947781,0.15308535,-0.39295316,-0.27889359,-0.35276419,-0.47786126,-0.09209117,-0.24989490,-0.69459206,-0.04843376,0.08832490,-0.19807102,-0.20393850,-0.46660987,-0.25886637,-0.67665154,-0.26208600,-0.20733409,-0.32050800,-0.32132512,-0.20068899,-0.23272158,-0.11422198,-0.10455842,-0.47328207,-0.31092632,0.02097682,-0.36534178,-0.23765494,-0.35803783,-0.24073513,-0.60607600,-0.27458930
-0.23057011,-0.47296435,-0.28884235,-0.18888330,-0.34955162,-0.44693437,-0.46245596,-0.16816731,-0.24446426,-0.07165493,-0.35076565,-0.18603373,-0.46846777,-0.18830381,-0.24067979,-0.51846224,-0.38513446,-0.24907796,-0.15813206,-0.33764607,-0.42896450,-0.29113016,-0.08269690,-0.26886684,-0.20980009,-0.42499527,-0.23794140,0.33750355,-0.12074486,-0.37663823,-0.10362015,0.30869973,-0.28726861,-0.35326651,-0.25507858,-0.24955195,-0.26162317,-0.40962234,-0.12928849,-0.40516144,-0.30702040,-0.26144338,-0.21440168,-0.14122662,0.00626328,-0.64398551,-0.32163221,-0.26604477,-0.36876002,-0.49900368,-0.26519704,-0.35791355,-0.52581412,-0.66674793,-0.16017511,0.16948369,-0.39176336,-0.45643660,-0.21817978,-0.06962565,-0.04353633,-0.13195045,-0.09211086,-0.27039361,-0.20870696,-0.23165914,-0.12756485,-0.25955862,-0.31313160,-0.22976452,-0.27998555,-0.37082231,-0.20156574,-0.29781166,-0.53035074,-0.24924862,-0.37751406,-0.43591964,-0.38718399,-0.13001867,-0.41894990,-0.23428944,-0.51019239,-0.39023176,-0.33017743,0.01673623,-0.50873893,-0.26458210,-0.25208086,-0.53402233,-0.33183616,0.00765779,-0.27413434,-0.35333264,-0.17351681,-0.39731389,-0.43031868,-0.28055176,-0.23200572,-0.48756361,-0.19166596,-0.66644692,-0.18020804,0.10900117,0.03811675,-0.49455523,-0.56621265,-0.15958245,0.10372722,-0.17881146,-0.22116460,-0.39860526,-0.31322125,-0.39049640,-0.63205844,-0.06025552,-0.16095380,-0.40303963,-0.41125306,-0.11098599,0.21799357,-0.70469993,-0.50760448,-0.32995960,-0.13943613,-0.57514924,-0.34820843,-0.52143800
